GO_ID	GO_Description	GO_Type	fold_enrichment	qvalue_norm	program_component
GO:0009890	negative regulation of biosynthetic process	BP	1.612738277659725	0.08776279409694121	consensus_peak_C1
GO:0051179	localization	BP	1.354746528358658	0.08681850963888653	consensus_peak_C1
GO:0048518	positive regulation of biological process	BP	1.2925752595843791	0.08625160507903291	consensus_peak_C1
GO:0031327	negative regulation of cellular biosynthetic process	BP	1.6109285858751448	0.08613991574854735	consensus_peak_C1
GO:0031323	regulation of cellular metabolic process	BP	1.3304854395599168	0.08613991574854735	consensus_peak_C1
GO:0044419	biological process involved in interspecies interaction between organisms	BP	1.8893524309706158	0.08463835722732789	consensus_peak_C1
GO:0010558	negative regulation of macromolecule biosynthetic process	BP	1.6108057092340982	0.08463835722732789	consensus_peak_C1
GO:0140313	molecular sequestering activity	MF	9.351418876366324	0.08455932137696173	consensus_peak_C1
GO:0009056	catabolic process	BP	1.6316892330836024	0.08411174630976612	consensus_peak_C1
GO:0007275	multicellular organism development	BP	1.3144269281479073	0.08383987094082063	consensus_peak_C1
GO:0010614	negative regulation of cardiac muscle hypertrophy	BP	11.94126671219392	0.0836943708754587	consensus_peak_C1
GO:0060090	molecular adaptor activity	MF	1.8810307456278013	0.08321416696983025	consensus_peak_C1
GO:0043167	ion binding	MF	1.3130025384517037	0.08321416696983025	consensus_peak_C1
GO:0036094	small molecule binding	MF	1.3030868579645303	0.08222058361564998	consensus_peak_C1
GO:0070062	extracellular exosome	CC	1.721250672325717	0.0814623244438375	consensus_peak_C1
GO:0044249	cellular biosynthetic process	BP	1.2767114340562378	0.0814507831514849	consensus_peak_C1
GO:1901701	cellular response to oxygen-containing compound	BP	1.8781203736096899	0.08040823341515829	consensus_peak_C1
GO:0030234	enzyme regulator activity	MF	1.8763046952756082	0.0802501102454013	consensus_peak_C1
GO:0009894	regulation of catabolic process	BP	2.0492256796879005	0.08022876211376666	consensus_peak_C1
GO:0046872	metal ion binding	MF	1.39205397222004	0.07989479541327306	consensus_peak_C1
GO:0043169	cation binding	MF	1.3806560311353613	0.07908574389749107	consensus_peak_C1
GO:0014741	negative regulation of muscle hypertrophy	BP	10.819533584976604	0.07882868006742849	consensus_peak_C1
GO:0048856	anatomical structure development	BP	1.2627615476090992	0.07882868006742849	consensus_peak_C1
GO:0003824	catalytic activity	MF	1.3413839033655994	0.07696211735963714	consensus_peak_C1
GO:1903561	extracellular vesicle	CC	1.6884065206520475	0.07680795298754936	consensus_peak_C1
GO:0043230	extracellular organelle	CC	1.6878403819993677	0.07680795298754936	consensus_peak_C1
GO:0065010	extracellular membrane-bounded organelle	CC	1.6878403819993677	0.07680795298754936	consensus_peak_C1
GO:0030674	protein-macromolecule adaptor activity	MF	1.8893866446878642	0.0767976188787899	consensus_peak_C1
GO:0012505	endomembrane system	CC	1.354772639616855	0.07503880529722236	consensus_peak_C1
GO:0016604	nuclear body	CC	2.1138948002481253	0.07442212673608062	consensus_peak_C1
GO:0060255	regulation of macromolecule metabolic process	BP	1.2952452725199237	0.07237579096733257	consensus_peak_C1
GO:0002682	regulation of immune system process	BP	1.7732596851679563	0.07199698562190275	consensus_peak_C1
GO:0023051	regulation of signaling	BP	1.381757163804541	0.07078714691228995	consensus_peak_C1
GO:0048522	positive regulation of cellular process	BP	1.2820196601675056	0.0705826381905079	consensus_peak_C1
GO:0008134	transcription factor binding	MF	2.131231422938745	0.07053982912819043	consensus_peak_C1
