test_index	y_test	OCR_proba_0	OCR_proba_1	OCR_proba_2	gene_counts_proba_0	gene_counts_proba_1	gene_counts_proba_2	consensus_peak_proba_0	consensus_peak_proba_1	consensus_peak_proba_2
0	1	0.6712140988908302	0.27379168283122146	0.05499421827794832	0.40417007699563173	0.30058641702311656	0.29524350598125176	0.45598708271062915	0.539683055090367	0.004329862199003867
1	0	0.40535923676568436	0.41282384125505217	0.18181692197926355	0.3923164033627414	0.4861925368345939	0.12149105980266466	0.38160610688876595	0.3628095756796778	0.25558431743155624
2	1	0.13173129452620955	0.8169784954783011	0.05129020999548937	0.3786338136712247	0.42730850628624073	0.19405768004253457	0.17414906723492282	0.529466762901724	0.29638416986335314
3	1	0.03606690210206894	0.9336833380355842	0.03024975986234682	0.4344428900463631	0.3483870412994052	0.21717006865423172	0.3905403978813419	0.5160492857858013	0.09341031633285679
4	0	0.8306084446449411	0.1351255076544645	0.03426604770059435	0.3660192448043096	0.5034419331142511	0.13053882208143922	0.6729060770765	0.32268586216084194	0.0044080607626582
5	1	0.49463308043522214	0.391503687136792	0.11386323242798584	0.4829201083392796	0.3752792939404437	0.14180059772027673	0.48782977474645955	0.4253138376723946	0.08685638758114582
6	0	0.5811393155591361	0.40286361832046014	0.01599706612040376	0.3359273869886617	0.6287605496947318	0.03531206331660645	0.21802236926526675	0.7679055398056517	0.014072090929081476
7	0	0.16687090526422046	0.5123499804755097	0.3207791142602698	0.14751291035347955	0.795157571369766	0.05732951827675444	0.01000360618872577	0.8381190647475641	0.1518773290637102
8	2	0.016596876859768264	0.6550100573706773	0.32839306576955446	0.18084852698772083	0.7767109029138038	0.04244057009847524	0.07462222626082672	0.5241503024464652	0.4012274712927082
9	0	0.1694475269792081	0.7473050073699246	0.0832474656508673	0.41615341938139844	0.5365002406097098	0.04734634000889177	0.42543569847566304	0.5627853657570927	0.011778935767244177
10	0	0.8929491319436945	0.06879211384620242	0.038258754210102976	0.8205405711794184	0.10536635607766592	0.07409307274291563	0.5879991549920489	0.3948796658591478	0.01712117914880332
11	2	0.37064493932705905	0.5676405802120282	0.06171448046091275	0.27230018335600775	0.5691082946899376	0.15859152195405465	0.4827216403053036	0.37847188857739394	0.13880647111730238
