combination_index,selected_datatypes,mean_best_val_accuracy,mean_test_accuracy
43,"consensus_peak,OCR,gene_counts",0.8572739406072739,0.8393719806763285
15,"FSD,OCR",0.8572127683238794,0.8417608961087222
23,"artemis,consensus_peak,OCR",0.8570626181737294,0.8393985241811328
20,"gene_counts,window",0.8557946835724616,0.847918989223337
33,"artemis,OCR,gene_counts",0.8529140251362475,0.8296039709083187
31,"artemis,FSD,gene_counts",0.8507118229340453,0.8454504432765302
16,"FSD,gene_counts",0.8503281058836616,0.8332802463237245
2,"artemis,FSD",0.8438660883105329,0.8418139831183309
8,"consensus_peak,OCR",0.8402791680569459,0.8162791314965228
3,"artemis,OCR",0.8368034701368036,0.8210967776185167
4,"artemis,gene_counts",0.8352630408185964,0.832032701597919
